protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,no_ra,W1,oas_trace_eps1e-6,,trial_tangent,3,all,all,B1,0.3958333333333333,0.39583333333333337,3.7424001831095666,0.048769456101581454,8.466919462080114e-05,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,,airm_nearest_class_mean,3,all,all,B2,0.4895833333333333,0.48958333333333337,3.0135645929258317,0.19825837505050004,0.00034419856779600703,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,,mean_decision_score,3,all,all,B3,0.4809027777777778,0.4809027777777778,25.18611822091043,0.4072334060911089,0.0007070024411303974,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,,majority_vote_secondary,3,all,all,B3_majority,0.4930555555555556,0.4930555555555555,0.0,0.0,0.0,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,,mean_window_log_svec,3,all,all,B4,0.3246527777777778,0.3246527777777778,0.08080316008999944,0.0011227130889892578,1.949154668384128e-06,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,0.0,mean_std_projection_moments,3,all,all,B5,0.3559027777777778,0.3559027777777778,0.14386307797394693,0.0019149729050695896,3.3246057379680374e-06,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,3,all,all,P2,0.3559027777777778,0.3559027777777778,1.6750118690542877,0.005919589893892407,1.0277065788007652e-05,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,0.0,pooled_class_measure,3,all,all,P1,0.4131944444444444,0.4131944444444444,0.06358295190148056,9.08540358999744,0.015773270121523335,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,1.0,mean_std_projection_moments,3,all,all,B5,0.4913194444444444,0.4913194444444445,0.13738793903030455,0.0021634281147271395,3.7559515880679505e-06,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,3,all,all,P2,0.4670138888888889,0.46701388888888884,1.7533591201063246,0.006003637798130512,1.0422982288421028e-05,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,1.0,pooled_class_measure,3,all,all,P1,0.3975694444444444,0.3975694444444445,0.06579598691314459,10.497811366105452,0.01822536695504419,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,2.0,mean_std_projection_moments,3,all,all,B5,0.3975694444444444,0.3975694444444444,0.15523416199721396,0.002354449825361371,4.0875865023634915e-06,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,3,all,all,P2,0.4114583333333333,0.4114583333333333,1.8957508499734104,0.006972495932132006,1.2105027659951398e-05,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,2.0,pooled_class_measure,3,all,all,P1,0.4184027777777778,0.4184027777777778,0.06981176091358066,12.641581624979153,0.021947190321144363,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,3.0,mean_std_projection_moments,3,all,all,B5,0.4131944444444444,0.4131944444444444,0.1668473961763084,0.0023574489168822765,4.092793258476175e-06,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,3,all,all,P2,0.3923611111111111,0.3923611111111111,2.0233323860447854,0.010060738073661923,1.746655915566306e-05,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,3.0,pooled_class_measure,3,all,all,P1,0.4375,0.4375,0.08399477507919073,12.256817446090281,0.02127919695501785,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,4.0,mean_std_projection_moments,3,all,all,B5,0.4479166666666667,0.4479166666666667,0.15305936289951205,0.0024384569842368364,4.233432264300063e-06,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,3,all,all,P2,0.3940972222222222,0.3940972222222222,1.7885215159039944,0.007968588033691049,1.3834354225158071e-05,0,4608,576,False
loso,no_ra,W1,oas_trace_eps1e-6,4.0,pooled_class_measure,3,all,all,P1,0.4201388888888889,0.4201388888888889,0.08087936090305448,11.76819606195204,0.020430895940888958,0,4608,576,False
