protocol,ra_mode,window_setting,covariance_estimator,bank_seed,aggregation,subject,session_train,session_test,method,accuracy,balanced_accuracy,classifier_or_pooled_measure_fitting_time_seconds,inference_time_seconds,amortized_inference_seconds_per_trial,fold_id,n_train_trials,n_test_trials,transductive_calibration
loso,subject_ra,W2,oas_trace_eps1e-6,,trial_tangent,7,all,all,B1,0.4357638888888889,0.43576388888888884,3.5608306489884853,0.0486690578982234,8.449489218441563e-05,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,airm_nearest_class_mean,7,all,all,B2,0.6284722222222222,0.6284722222222222,2.8882154310122132,0.20516036194749177,0.00035618118393661763,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,mean_decision_score,7,all,all,B3,0.4670138888888889,0.46701388888888884,14.515638484153897,0.21699292887933552,0.0003767238348599575,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,majority_vote_secondary,7,all,all,B3_majority,0.4322916666666667,0.4322916666666667,0.0,0.0,0.0,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,mean_window_log_svec,7,all,all,B4,0.4270833333333333,0.4270833333333333,0.09760086704045534,0.0014012879692018032,2.432791613197575e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,,ordered_nonoverlap,7,all,all,ordered_control,0.4375,0.4375,15.218005378032103,0.21491003897972405,0.00037310770656202093,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,mean_std_projection_moments,7,all,all,B5,0.4375,0.4375,0.15010567684657872,0.002358191879466176,4.094083124073222e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,exact_sorted_order_statistics,7,all,all,P2,0.40625,0.40625,0.5005796269979328,0.0039286979008466005,6.820656077858682e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,0.0,pooled_class_measure,7,all,all,P1,0.5746527777777778,0.5746527777777777,0.03696792712435126,5.973816717043519,0.010371209578200554,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,mean_std_projection_moments,7,all,all,B5,0.4114583333333333,0.41145833333333337,0.15520078293047845,0.002365740016102791,4.107187527956234e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,exact_sorted_order_statistics,7,all,all,P2,0.40625,0.40625,0.4630136420018971,0.00376575393602252,6.537767250039097e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,1.0,pooled_class_measure,7,all,all,P1,0.5590277777777778,0.5590277777777778,0.03655492211692035,5.375365444924682,0.009332231675216462,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,mean_std_projection_moments,7,all,all,B5,0.4184027777777778,0.4184027777777778,0.1577529408968985,0.002472879830747843,4.293194150603894e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,exact_sorted_order_statistics,7,all,all,P2,0.4131944444444444,0.4131944444444444,0.4976453799754381,0.003768821945413947,6.5430936552325474e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,2.0,pooled_class_measure,7,all,all,P1,0.4826388888888889,0.4826388888888889,0.03697919100522995,5.698590752901509,0.009893386723787343,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,mean_std_projection_moments,7,all,all,B5,0.4322916666666667,0.4322916666666667,0.1607373640872538,0.0020777741447091103,3.607246779008872e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,exact_sorted_order_statistics,7,all,all,P2,0.3993055555555556,0.3993055555555556,0.46246642107144,0.0036305920220911503,6.3031111494638026e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,3.0,pooled_class_measure,7,all,all,P1,0.5885416666666666,0.5885416666666666,0.03647948591969907,6.262634929968044,0.010872630086750077,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,mean_std_projection_moments,7,all,all,B5,0.4236111111111111,0.4236111111111111,0.17331126192584634,0.0027652778662741184,4.800829628948122e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,exact_sorted_order_statistics,7,all,all,P2,0.3802083333333333,0.38020833333333337,0.541420228080824,0.004269317956641316,7.412010341391175e-06,0,4608,576,True
loso,subject_ra,W2,oas_trace_eps1e-6,4.0,pooled_class_measure,7,all,all,P1,0.5572916666666666,0.5572916666666666,0.04686875408515334,6.302281897049397,0.01094146162682187,0,4608,576,True
